sep=|
ESTADO|DISTRITO|PARTIDO|CANDIDATO_PROPIETARIO|CANDIDATO_SUPLENTE
0|0|CI_01|ISMAEL FIGUEROA FLORES| 
0|0|CI_02|LORENA OSORNIO ELIZONDO| 
0|0|CI_03|XAVIER GONZALEZ ZIRION| 
0|0|CI_04|JULIO CAZARES RIOS| 
0|0|CI_05|SERGIO ABRAHAM MENDEZ MOISSEN| 
0|0|CI_06|FERNANDO HIRAM ZURITA JIMENEZ| 
0|0|CI_07|GERARDO CLETO LÓPEZ BECERRA 'CLETO'| 
0|0|CI_08|SERGIO GABRIEL GARCIA COLORADO| 
0|0|CI_09|NAZARIO NORBERTO SANCHEZ| 
0|0|CI_10|RICARDO ANDRES PASCOE PIERCE| 
0|0|CI_11|ENRIQUE PEREZ CORREA| 
0|0|CI_12|MARTHA PATRICIA PATIÑO FIERRO 'PATY PATIÑO'| 
0|0|CI_13|JORGE EDUARDO PASCUAL LOPEZ| 
0|0|CI_14|ALVARO LUNA PACHECO| 
0|0|CI_15|ALEXIS EMILIANO ORTA SALGADO| 
0|0|CI_16|ELSA DE GUADALUPE CONDE RODRIGUEZ 'ELSA CONDE'| 
0|0|CI_17|JUAN MARTIN SANDOVAL DE ESCURDIA| 
0|0|CI_18|ALEJANDRO DE SANTIAGO PALOMARES SAENZ| 
0|0|CI_19|ANA ZELTZIN ZITLALLI MORALES FLORES| 
0|0|CI_20|BLANCA IVETH MAYORGA BASURTO| 
0|0|CI_21|NATALIA EUGENIA CALLEJAS GUERRERO| 
0|0|PAN|SANTIAGO CREEL MIRANDA| 
0|0|PAN|MARGARITA SALDAÑA HERNANDEZ| 
0|0|PAN|MAURICIO TABE ECHARTEA| 
0|0|PAN|KENIA LOPEZ RABADAN| 
0|0|PAN|CARLOS GELISTA GONZALEZ| 
0|0|PAN|MARIA TERESA GOMEZ MONT Y URUETA| 
0|0|PAN|GONZALO ALTAMIRANO DIMAS| 
0|0|PAN|MARIA DEL CARMEN SEGURA RANGEL| 
0|0|PAN|JOSE LUIS LUEGE TAMARGO| 
0|0|PAN|ALICIA GALVAN LOPEZ| 
0|0|PAN|JORGE ALBERTO LARA RIVERA| 
0|0|PAN|AMERICA ALEJANDRA RANGEL LORENZANA| 
0|0|PAN|EDUARDO ISMAEL AGUILAR SIERRA| 
0|0|PAN|LORENA RIOS MARTINEZ| 
0|0|PAN|HECTOR SAUL  TELLEZ HERNANDEZ| 
0|0|PAN|MONICA LETICIA SERRANO PEÑA| 
0|0|PAN|JORGE PALACIOS ARROYO| 
0|0|PAN|SILVIA ESTHER PEREZ CEBALLOS| 
0|0|PAN|JESUS RAUL SANCHEZ SANCHEZ| 
0|0|PAN|ROSAURA VIRGINIA DENEGRE VAUGHT RAMIREZ| 
0|0|PAN|ALEJANDRO AVILES GOMEZ| 
0|0|PAN|SANDRA SUSANA MARTINEZ CASTRO| 
0|0|PAN|JORGE REAL SANCHEZ| 
0|0|PAN|MARIA TERESA GUADALUPE TOCA GUTIERREZ| 
0|0|PAN|LEOVIGILDO CHAVEZ LOPEZ| 
0|0|PAN|MARIA GUADALUPE CHAPELA Y MENDOZA| 
0|0|PAN|GERARDO GUILLERMO REYES GUIZAR| 
0|0|PAN|ANA YOSELYN VILLAGRAN VILLASANA| 
0|0|PAN|BENITO SOTELO VILLA| 
0|0|PAN|DIANA MARIA TERESA LARA CARREON| 
0|0|PAN|MAURICIO ROBLES CORTES| 
0|0|PAN|ELIZABETH MARIN ROLDAN| 
0|0|PAN|MIGUEL ANGEL OCANO OPENGO| 
0|0|PAN|ROSALIND PAMELA RAMIREZ HERNANDEZ| 
0|0|PAN|EDUARDO HERNANDEZ ROJAS| 
0|0|PAN|KAREN GONZALEZ RODRIGUEZ| 
0|0|PAN|JACOBO MANFREDO BONILLA CEDILLO| 
0|0|PAN|LAURA SUSANA OROPEZA MORALES| 
0|0|PAN|ESTEBAN SALDAÑA PARAMO| 
0|0|PAN|SILVIA ZULETA VITE| 
0|0|PAN|JUAN JOSE MENDEZ LIPRANDI| 
0|0|PAN|MARTHA ANGELICA VILLA GONZALEZ| 
0|0|PAN|JOSE CARLOS JIMENEZ AGUIRRE| 
0|0|PAN|CYNTHIA ADRIANA BELTRAN VELAZQUEZ| 
0|0|PAN|VICTOR MANUEL ARMENTA NOVALES| 
0|0|PAN|NANCY YANIRA RUIZ HERNANDEZ| 
0|0|PAN|ALEJANDRO CURIEL GONZALEZ| 
0|0|PAN|RUBI OSIO MIRANDA| 
0|0|PAN|ARTURO RAMOS RUIZ| 
0|0|PAN|MARIA ISABEL MORALES VELAZQUEZ| 
0|0|PAN|LUIS MANUEL MUÑOZ CARDOSO| 
0|0|PAN|MARIA DEL CARMEN ARRIAGA PEREZ| 
0|0|PAN|FLAVIO GUZMAN LOPEZ| 
0|0|PAN|DARLETT CERPA SERRANO| 
0|0|PAN|GILDARDO LOPEZ HERNANDEZ| 
0|0|PAN|EVELYN VERONICA FIGUEROA REYES| 
0|0|PAN|JORGE HERNANDEZ OLVERA| 
0|0|PAN|SOCORRO ORTIZ CHAVEZ| 
0|0|PAN|ERICK MENA MORENO| 
0|0|PAN|REBECA EDITH QUIROZ HERAS| 
0|0|PRI|IRMA CUE SARQUIS| 
0|0|PRI|CARLOS HUMBERTO ACEVES Y DEL OLMO| 
0|0|PRI|CYNTHIA ILIANA LOPEZ CASTRO| 
0|0|PRI|JOSE EDUARDO ESCOBEDO MIRAMONTES| 
0|0|PRI|MARIA FERNANDA BAYARDO SALIM| 
0|0|PRI|JORGE ALEJANDRO CHAVEZ PRESA| 
0|0|PRI|LEONOR GOMEZ OTEGUI| 
0|0|PRI|GUSTAVO SOTELO VILLEGAS| 
0|0|PRI|GLORIA CARRILLO SALINAS| 
0|0|PRI|FILOGONIO SANCHEZ ALVARADO| 
0|0|PRI|MARGARITA MARIA SANCHEZ GAVITO DIAZ| 
0|0|PRI|ENRIQUE DAVIS MAZLUM| 
0|0|PRI|LAURA ELENA ARELLANO GILMORE| 
0|0|PRI|JOSE ALBERTO AGUILAR IÑARRITU| 
0|0|PRI|ARACELI GARCIA RICO| 
0|0|PRI|RENE MUÑOZ VAZQUEZ| 
0|0|PRI|ARIANNA NOEMI MONTIEL ALVARADO| 
0|0|PRI|LUIS FRANCISCO CELIS MOLINA| 
0|0|PRI|VERONICA MARTINEZ SENTIES| 
0|0|PRI|JAIME ALBERTO OCHOA AMOROS| 
0|0|PRI|LILA KARINA ABED RUIZ| 
0|0|PRI|MARIO ALBERTO ZAPATA BARAJAS| 
0|0|PRI|GEORGINA ADRIANA PULIDO GARCIA| 
0|0|PRI|JORGE GARCIA RODRIGUEZ| 
0|0|PRI|MARTHA GUTIERREZ MANRIQUE| 
0|0|PRI|CARLOS JUAN CAMACHO DAVALOS| 
0|0|PRI|GUADALUPE CEDILLO MONDRAGON| 
0|0|PRI|FERNANDO RASCON FUENTES| 
0|0|PRI|CLAUDIA MARIA AGUILAR ESQUIVEL| 
0|0|PRI|ESTEBAN RUIZ CARBALLIDO| 
0|0|PRI|KARLA PAOLA ARSOF CAMPOS| 
0|0|PRI|JOSE LUIS CAMACHO VARGAS| 
0|0|PRI|TERESA RAMOS ARREOLA| 
0|0|PRI|LUIS SALVADOR FIGUEROA SOLANO| 
0|0|PRI|GABRIELA DE REGIL CURIEL| 
0|0|PRI|EDGAR MERELES ORTIZ| 
0|0|PRI|GUADALUPE AURORA LOL BE PERAZA GONZALEZ| 
0|0|PRI|RICARDO CHEW LOPEZ| 
0|0|PRI|GUADALUPE GALICIA FLAMENCO| 
0|0|PRI|MARCO ANTONIO VELASQUEZ VALENCIA| 
0|0|PRI|MARIANA VALDIVIA TOLEDO| 
0|0|PRI|LUIS MIGUEL CLAVERIE FARIAS| 
0|0|PRI|LIDIA LARA BARRAGAN VARGAS| 
0|0|PRI|JUAN LUIS GOMEZ JARDON| 
0|0|PRI|KELLY VIRIDIANA COLIN AGUILAR| 
0|0|PRI|ANTONIO JUAREZ ACEVEDO| 
0|0|PRI|MARIA DEL PILAR CORONA TOLEDO| 
0|0|PRI|VICTOR MANUEL CAMARENA MEIXUEIRO| 
0|0|PRI|MONSERRAT PEREZ CEDEÑO| 
0|0|PRI|FERNANDO ESPEJEL OSCOY| 
0|0|PRI|THELMA SANCHEZ ARVIZU| 
0|0|PRI|JUAN CARLOS GARZA CASTRO| 
0|0|PRI|RAQUEL REYES MEJIA| 
0|0|PRI|FIDEL EMANUEL CRUZ ESPINOSA| 
0|0|PRI|PAMELA PINEDO HERNANDEZ| 
0|0|PRI|JOSE ALFREDO DE LA PEÑA GARCIA| 
0|0|PRI|ODALIS VIRIDIANA SEGURA MANCILLA| 
0|0|PRI|HAMLET RIVERA PIMENTEL| 
0|0|PRI|ADRIANA DUARTE YEPEZ| 
0|0|PRI|CARLOS CONRADO DIAZ ORNELAS| 
0|0|PRD|KATIA D¿ARTIGUES BEAUREGARD| 
0|0|PRD|ENRIQUE PROVENCIO DURAZO| 
0|0|PRD|MARIA MARCELA LAGARDE Y DE LOS RIOS| 
0|0|PRD|MIGUEL ANGEL MARCOS VELAZQUEZ MUÑOZ| 
0|0|PRD|GUADALUPE ELIZABETH MUÑOZ RUIZ| 
0|0|PRD|HUMBERTO LOZANO AVILES| 
0|0|PRD|IFIGENIA MARTHA MARTINEZ Y HERNANDEZ| 
0|0|PRD|J. JESUS ORTEGA MARTINEZ| 
0|0|PRD|NELLY ANTONIA JUAREZ AUDELO| 
0|0|PRD|JOSE MANUEL OROPEZA MORALES| 
0|0|PRD|LOL KIN CASTAÑEDA BADILLO| 
0|0|PRD|JULIO CESAR MORENO RIVERA| 
0|0|PRD|DIANA ARELLANO RIVERA| 
0|0|PRD|HORACIO DANIEL FRANCO MEZA| 
0|0|PRD|TOBYANNE LEDESMA RIVERA| 
0|0|PRD|JUAN AYALA RIVERO| 
0|0|PRD|ELENA CHAVEZ GONZALEZ| 
0|0|PRD|ROBERTO  LOPEZ SUAREZ| 
0|0|PRD|ANA JULIA HERNANDEZ PEREZ| 
0|0|PRD|CARLOS JIMENEZ RODRIGUEZ| 
0|0|PRD|CLAUDIA LILIA CRUZ SANTIAGO| 
0|0|PRD|PABLO GOMEZ ALVAREZ| 
0|0|PRD|AMARANTA ROCIO VILLA SANCHEZ| 
0|0|PRD|JOAQUIN ARTURO AVILA DEL CASTILLO| 
0|0|PRD|ROSY LAURA CASTELLANOS MARIANO| 
0|0|PRD|RICARDO RAMIREZ ROMERO| 
0|0|PRD|AURORA ALVAREZ MELO| 
0|0|PRD|FELIPE PEREZ ACEVEDO| 
0|0|PRD|ANA GERALDINA UNZUETA REYES| 
0|0|PRD|OSCAR ULISES GARCIA CERVANTES| 
0|0|PRD|CARINA GUADALUPE HERNANDEZ HERNANDEZ| 
0|0|PRD|GILBERTO ENSASTIGA SANTIAGO| 
0|0|PRD|ANA GABRIELA SALDAÑA CHAVEZ| 
0|0|PRD|ONASIS GALDINO ZARATE PAZ| 
0|0|PRD|KARLA TABOADA RODRIGUEZ| 
0|0|PRD|ISAIAS VILLA GONZALEZ| 
0|0|PRD|CARMEN ANTUNA CRUZ| 
0|0|PRD|MIGUEL SALAZAR HERNANDEZ| 
0|0|PRD|ANAHI NAVA FUERTES| 
0|0|PRD|LUIS ENRIQUE GARCIA QUINTERO| 
0|0|PRD|MARTHA ZALDIVAR HERNANDEZ| 
0|0|PRD|JESUS RIVERO CASAS| 
0|0|PRD|MARIA DEL PILAR FIGUEIRAS VALLEJO| 
0|0|PRD|MARIO ETHAN GUTIERREZ GONZALEZ| 
0|0|PRD|MARIA SOLEDAD RODRIGUEZ MORENO| 
0|0|PRD|CARLOS CESAR SANCHEZ HERNANDEZ| 
0|0|PRD|CECILIA ESPINOSA GARCIA| 
0|0|PRD|MANUEL MARTINEZ ROMERO| 
0|0|PRD|XOCHITL BRAVO ESPINOSA| 
0|0|PRD|OSCAR ALBERTO FLORES MORALES| 
0|0|PRD|TERESA RAMIREZ MAYA| 
0|0|PRD|GUSTAVO HERNANDEZ CARBAJAL| 
0|0|PRD|DALID MONDACA MARINERO| 
0|0|PRD|ADRIAN MENDOZA VARELA| 
0|0|PRD|JAQUELIN BERENICE  PINEDA HERNANDEZ| 
0|0|PRD|LUIS DAVID RICARDO BARBA RUBIO| 
0|0|PRD|ANA MARIA GUADALUPE GONZALEZ FERRER| 
0|0|PRD|RICARDO ARREDONDO GARCIA| 
0|0|PRD|MARIA ISABEL ARACELI TAPIA MORA| 
0|0|PRD|ARTURO VINICIO BARAJAS CHAVEZ| 
0|0|PVEM|JORGE HERNANDEZ MENDOZA| 
0|0|PVEM|GABRIELA LIZETH ENRIQUEZ RODRIGUEZ| 
0|0|PVEM|ROGIERO JORGE SILVA ACEVEDO| 
0|0|PVEM|MARIA JOSE VAZQUEZ LABARGA| 
0|0|PVEM|CARLOS ANTONIO KURI UGARTE| 
0|0|PVEM|MARTHA LABARGA CALDERON| 
0|0|PVEM|MIGUEL ANGEL CONTRERAS CORRAL| 
0|0|PVEM|MARIA ELISA LOPEZ DECAEN| 
0|0|PVEM|FELIPE BARRIOS AGUILAR| 
0|0|PVEM|MINERVA RUIZ MEJIA| 
0|0|PVEM|SERGIO ROBERTO SILVA DELGADO| 
0|0|PVEM|MERYBETH HERNANDEZ BAUTISTA| 
0|0|PVEM|JUAN FRANCISCO FLORES CORRO| 
0|0|PVEM|LUCINA TAPIA GUTIERREZ| 
0|0|PVEM|LUIS FABIAN JIMENEZ ANTONIO| 
0|0|PVEM|CAROLINA CABALLERO MORA| 
0|0|PVEM|ROBERTO EDUARDO PUIG RAMIREZ| 
0|0|PVEM|MARIA MARCELA PEREZ FELIPE| 
0|0|PVEM|CHRISTIAN IVAN GARCIA RAMIREZ| 
0|0|PVEM|JULIA LINARES GOMEZ| 
0|0|PVEM|CHRISTIAN EDUARDO ORTEGA PACHECO| 
0|0|PVEM|VANESSA CARTHER LOPEZ| 
0|0|PVEM|LUIS ALEJANDRO BUSTOS OLIVARES| 
0|0|PVEM|FRIDA ANGELICA GOMEZ PEREZ| 
0|0|PVEM|CARLOS JUAN MANUEL DAZA GOMEZ| 
0|0|PVEM|ALHELY RUBIO ARRONIS| 
0|0|PVEM|LEONARDO ALVAREZ ROMO| 
0|0|PVEM|GRISEL ELIZABETH MARTINEZ ISLAS| 
0|0|PVEM|CARLOS ARTURO MADRAZO SILVA| 
0|0|PVEM|IRAM MARLENE GALAN ZAVALA| 
0|0|PVEM|HECTOR GUIJOSA MORA| 
0|0|PVEM|PAULA ALEJANDRA PEREZ CORDOVA| 
0|0|PVEM|CESAR FABRICIO GEORGE CHAVEZ| 
0|0|PVEM|MARIA DEL ROSARIO JAIMES CUAJICALCO| 
0|0|PVEM|YURI PAVON ROMERO| 
0|0|PVEM|ELENA GUADALUPE NOLASCO GUTIERREZ| 
0|0|PVEM|JOSE MARIA VAZQUEZ DAVILA| 
0|0|PVEM|MARIA DE LOURDES GONZALEZ HERNANDEZ| 
0|0|PVEM|SERGIO FLORES RIOS| 
0|0|PVEM|LILIANA SIMON OLIVER| 
0|0|PVEM|DAVID ALLAN MUÑOZ DIAZ| 
0|0|PVEM|DIANA IVETH CENOBIO OLMEDO| 
0|0|PVEM|ULISES AGUILAR BRAVO| 
0|0|PVEM|AZUCENA NUÑEZ VARGAS| 
0|0|PVEM|RICARDO DAMIAN MORA LOPEZ| 
0|0|PVEM|MARINA EMILIA SANCHEZ FLORES| 
0|0|PVEM|JESUS ALBERTO LUNA DIAZ| 
0|0|PVEM|ABIGAIL CALA CAMACHO| 
0|0|PVEM|ERIC GARCIA SOSA| 
0|0|PVEM|SARA GUADALUPE VEGA HERNANDEZ| 
0|0|PVEM|JOSE ANTONIO SANCHEZ RAMIREZ| 
0|0|PVEM|SAMANTHA DESSIREY  SANCHEZ MONTENEGRO| 
0|0|PVEM|HUGO HERNANDEZ BAUTISTA| 
0|0|PVEM|MONICA GUADALUPE ESPINDOLA AYALA| 
0|0|PVEM|VICTOR PATIÑO ROSAS| 
0|0|PVEM|MAYRA ERENDIRA GOMEZ BRAVO| 
0|0|PVEM|ALEJANDRO HERMENEGILDO BAUTISTA FLORES| 
0|0|PVEM|KARLA GUADALUPE RODRIGUEZ VALENZUELA| 
0|0|PVEM|RAUL DAVID MORALES ROQUET| 
0|0|PVEM|VERONICA UGARTE TRIANA| 
0|0|PT|ADOLFO ORIVE BELLINGER| 
0|0|PT|CIRCE  CAMACHO BASTIDA| 
0|0|PT|EDUARDO MIRANDA ESQUIVEL| 
0|0|PT|SILVIA ADRIANA ARENAS LOPEZ| 
0|0|PT|GENARO CERVANTES VEGA| 
0|0|PT|ANA LAURA LOPEZ MARTINEZ| 
0|0|PT|GUSTAVO DEFFIS COURT| 
0|0|PT|GUHENDOLINE DEL RAYO MALDONADO CASAS| 
0|0|PT|RODOLFO ONDARZA ROVIRA| 
0|0|PT|SILVIA ELENA MARTINEZ PINEDA| 
0|0|PT|JAIME ORTIZ ALVAREZ| 
0|0|PT|MARIA GUADALUPE SANCHEZ RIVERA| 
0|0|PT|ENRICO EMIR CASAS SORIANO| 
0|0|PT|CRISTINA RIVERA MARTINEZ| 
0|0|PT|HUMBERTO MAUNOS JUAREZ| 
0|0|PT|SOCORRO SUAREZ MENDOZA| 
0|0|PT|ALEJANDRO CERVANTES ESPINOZA| 
0|0|PT|ROSALBA RIVERA MARTINEZ| 
0|0|PT|MANUEL MARTIN MORALES VEGA| 
0|0|PT|MARIA ISABEL CUEVAS IRALA| 
0|0|PT|FRANCISCO ISMAEL CERVANTES ESPINOZA| 
0|0|PT|TERESA CAMACHO BASTIDA| 
0|0|PT|JOSE DAVID AYALA TOMAS| 
0|0|PT|KARLA MUÑOZ AYALA| 
0|0|PT|SERGIO MOISES GARCIA LOPEZ| 
0|0|PT|LAURA HERNANDEZ FLORES| 
0|0|PT|JAVIER RESENDIZ SERRANO| 
0|0|PT|MARIA FERNANDA TUSSIE CONTRERAS| 
0|0|PT|MAURICIO ORTIZ PACHECO| 
0|0|PT|LUCIA MARTINEZ AVANTES| 
0|0|PT|PEDRO CRUZ PERALTA| 
0|0|PT|ERIKA ADRIANA GUEVARA ROSALES| 
0|0|PT|VICTOR GOMEZ FLORES| 
0|0|PT|CLAUDIA LAURA HERNANDEZ ESTRADA| 
0|0|PT|CHRISTIAN EMMANUEL ORTIZ TORRES| 
0|0|PT|MARIA DE JESUS LOPEZ VAZQUEZ| 
0|0|PT|GERARDO DAVID RODRIGUEZ LOPEZ| 
0|0|PT|IRMA TERESA HERNANDEZ FLORES| 
0|0|PT|JAIME BLAS ESPINOSA| 
0|0|PT|MONSERRAT ESTRADA CRUZ| 
0|0|PT|HUGO ALBERTO DIAZ BARTOLO| 
0|0|PT|MARIA RITA VAZQUEZ ZAMARRIPA| 
0|0|PT|ANGEL AGUILAR MOCTEZUMA| 
0|0|PT|ANA KARINA ROJO PIMENTEL| 
0|0|PT|MARTIN AYALA TOMAS| 
0|0|PT|MONTSERRAT CERVANTES ESPINOZA| 
0|0|PT|HECTOR FRANCISCO RICARDEZ MENDEZ| 
0|0|PT|VERONICA SANCHEZ TOVAR| 
0|0|PT|MARIO VAZQUEZ GARCIA| 
0|0|PT|ROSA MARIA VARGAS TREJO| 
0|0|PT|FELIPE CERVANTES VEGA| 
0|0|PT|GUADALUPE IRIGOYEN GALVAN| 
0|0|PT|JOSE LUIS SEGURA PEREZ| 
0|0|PT|JACQUELINE MUNGUIA HERNANDEZ| 
0|0|PT|MARTINIANO LUNA AYALA| 
